bfsNr,locationName,PERS_WAGEN,date,change_event_name
4001,Aarau,10780,2025-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10717,2024-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10647,2023-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10556,2022-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10618,2021-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10582,2020-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10666,2019-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10584,2018-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10603,2017-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10593,2016-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10406,2015-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10142,2014-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10110,2013-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,10016,2012-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,9927,2011-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,9672,2010-09-30,Incorporation of Rohr (AG) into Aarau
4001,Aarau,7901,2009-09-30,Initial recording of the municipality Aarau
4001,Aarau,7847,2008-09-30,Initial recording of the municipality Aarau
4001,Aarau,7808,2007-09-30,Initial recording of the municipality Aarau
4001,Aarau,7784,2006-09-30,Initial recording of the municipality Aarau
4001,Aarau,7721,2005-09-30,Initial recording of the municipality Aarau
4001,Aarau,7767,2004-09-30,Initial recording of the municipality Aarau
4001,Aarau,7622,2003-09-30,Initial recording of the municipality Aarau
4001,Aarau,7473,2002-09-30,Initial recording of the municipality Aarau
4001,Aarau,7357,2001-09-30,Initial recording of the municipality Aarau
4001,Aarau,7230,2000-09-30,Initial recording of the municipality Aarau
4001,Aarau,7151,1999-09-30,Initial recording of the municipality Aarau
4001,Aarau,7203,1998-09-30,Initial recording of the municipality Aarau
4001,Aarau,7184,1997-09-30,Initial recording of the municipality Aarau
4001,Aarau,7197,1996-09-30,Initial recording of the municipality Aarau
4001,Aarau,7124,1995-09-30,Initial recording of the municipality Aarau
4001,Aarau,7093,1994-09-30,Initial recording of the municipality Aarau
4001,Aarau,7081,1993-09-30,Initial recording of the municipality Aarau
4001,Aarau,7062,1992-09-30,Initial recording of the municipality Aarau
4001,Aarau,7147,1991-09-30,Initial recording of the municipality Aarau
4001,Aarau,7044,1990-09-30,Initial recording of the municipality Aarau
4001,Aarau,6754,1989-09-30,Initial recording of the municipality Aarau
4001,Aarau,6600,1988-09-30,Initial recording of the municipality Aarau
4001,Aarau,6485,1987-09-30,Initial recording of the municipality Aarau
4001,Aarau,6385,1986-09-30,Initial recording of the municipality Aarau
4001,Aarau,6286,1985-09-30,Initial recording of the municipality Aarau
4001,Aarau,6172,1984-09-30,Initial recording of the municipality Aarau
4001,Aarau,5977,1983-09-30,Initial recording of the municipality Aarau
4001,Aarau,5873,1982-09-30,Initial recording of the municipality Aarau
4001,Aarau,5772,1981-09-30,Initial recording of the municipality Aarau
4001,Aarau,5757,1980-09-30,Initial recording of the municipality Aarau
4001,Aarau,5665,1979-09-30,Initial recording of the municipality Aarau
4001,Aarau,5450,1978-09-30,Initial recording of the municipality Aarau
4001,Aarau,5287,1977-09-30,Initial recording of the municipality Aarau
4001,Aarau,5337,1976-09-30,Initial recording of the municipality Aarau
4271,Aarburg,4976,2025-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,4934,2024-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,4864,2023-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,4757,2022-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,4719,2021-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,4577,2020-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,4503,2019-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,4417,2018-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,4308,2017-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,4162,2016-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,4109,2015-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3963,2014-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3892,2013-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3789,2012-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3773,2011-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3614,2010-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3453,2009-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3367,2008-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3307,2007-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3291,2006-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3278,2005-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3213,2004-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3150,2003-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3130,2002-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3062,2001-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,3020,2000-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2997,1999-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2897,1998-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2862,1997-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2876,1996-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2795,1995-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2731,1994-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2614,1993-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2542,1992-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2481,1991-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2376,1990-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2285,1989-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2276,1988-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2178,1987-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2147,1986-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2110,1985-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,2039,1984-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,1960,1983-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,1870,1982-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,1772,1981-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,1705,1980-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,1649,1979-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,1611,1978-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,1523,1977-09-30,Initial recording of the municipality Aarburg
4271,Aarburg,1533,1976-09-30,Initial recording of the municipality Aarburg
4221,Abtwil,744,2025-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,725,2024-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,697,2023-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,689,2022-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,640,2021-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,623,2020-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,628,2019-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,621,2018-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,613,2017-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,626,2016-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,617,2015-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,610,2014-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,604,2013-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,576,2012-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,566,2011-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,526,2010-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,445,2009-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,414,2008-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,417,2007-09-30,Initial recording of the municipality Abtwil
4221,Abtwil,401,2006-09-30,Initial recording of the municipality Abtwil
