bfsNr,date,muniDescription,PERS_WAGEN
4001,2025-09-30,Incorporation of Rohr (AG) into Aarau,10780
4001,2024-09-30,Incorporation of Rohr (AG) into Aarau,10717
4001,2023-09-30,Incorporation of Rohr (AG) into Aarau,10647
4001,2022-09-30,Incorporation of Rohr (AG) into Aarau,10556
4001,2021-09-30,Incorporation of Rohr (AG) into Aarau,10618
4001,2020-09-30,Incorporation of Rohr (AG) into Aarau,10582
4001,2019-09-30,Incorporation of Rohr (AG) into Aarau,10666
4001,2018-09-30,Incorporation of Rohr (AG) into Aarau,10584
4001,2017-09-30,Incorporation of Rohr (AG) into Aarau,10603
4001,2016-09-30,Incorporation of Rohr (AG) into Aarau,10593
4001,2015-09-30,Incorporation of Rohr (AG) into Aarau,10406
4001,2014-09-30,Incorporation of Rohr (AG) into Aarau,10142
4001,2013-09-30,Incorporation of Rohr (AG) into Aarau,10110
4001,2012-09-30,Incorporation of Rohr (AG) into Aarau,10016
4001,2011-09-30,Incorporation of Rohr (AG) into Aarau,9927
4001,2010-09-30,Incorporation of Rohr (AG) into Aarau,9672
4001,2009-09-30,Initial recording of the municipality Aarau,7901
4001,2008-09-30,Initial recording of the municipality Aarau,7847
4001,2007-09-30,Initial recording of the municipality Aarau,7808
4001,2006-09-30,Initial recording of the municipality Aarau,7784
4001,2005-09-30,Initial recording of the municipality Aarau,7721
4001,2004-09-30,Initial recording of the municipality Aarau,7767
4001,2003-09-30,Initial recording of the municipality Aarau,7622
4001,2002-09-30,Initial recording of the municipality Aarau,7473
4001,2001-09-30,Initial recording of the municipality Aarau,7357
4001,2000-09-30,Initial recording of the municipality Aarau,7230
4001,1999-09-30,Initial recording of the municipality Aarau,7151
4001,1998-09-30,Initial recording of the municipality Aarau,7203
4001,1997-09-30,Initial recording of the municipality Aarau,7184
4001,1996-09-30,Initial recording of the municipality Aarau,7197
4001,1995-09-30,Initial recording of the municipality Aarau,7124
4001,1994-09-30,Initial recording of the municipality Aarau,7093
4001,1993-09-30,Initial recording of the municipality Aarau,7081
4001,1992-09-30,Initial recording of the municipality Aarau,7062
4001,1991-09-30,Initial recording of the municipality Aarau,7147
4001,1990-09-30,Initial recording of the municipality Aarau,7044
4001,1989-09-30,Initial recording of the municipality Aarau,6754
4001,1988-09-30,Initial recording of the municipality Aarau,6600
4001,1987-09-30,Initial recording of the municipality Aarau,6485
4001,1986-09-30,Initial recording of the municipality Aarau,6385
