name,validFrom,changeEventDescription
Fétigny-Ménières,2026-01-01,Fusion of Fétigny and Ménières into Fétigny-Ménières
Gurmels,2026-01-01,Incorporation of Ulmiz into Gurmels
Grolley-Ponthaux,2025-01-01,Fusion of Grolley and Ponthaux into Grolley-Ponthaux
Rue,2025-01-01,"Incorporation of Auboranges, Chapelle (Glâne) and Ecublens (FR) into Rue"
Ursy,2025-01-01,Incorporation of Montet (Glâne) into Ursy
Murten,2022-01-01,"Incorporation of Clavaleyres, Galmiz and Gempenach into Murten"
Bois-d'Amont,2021-01-01,"Fusion of Arconciel, Ependes (FR) and Senèdes into Bois-d'Amont"
Surpierre,2021-01-01,Incorporation of Cheiry into Surpierre
Tafers,2021-01-01,Incorporation of Alterswil and St. Antoni into Tafers
Prez,2020-01-01,"Fusion of Corserey, Noréaz and Prez-vers-Noréaz into Prez"
Villaz,2020-01-01,Fusion of La Folliaz and Villaz-Saint-Pierre into Villaz
Corminboeuf,2017-01-01,Incorporation of Chésopelloz into Corminboeuf
Estavayer,2017-01-01,"Fusion of Bussy (FR), Estavayer-le-Lac, Morens (FR), Murist, Rueyres-les-Prés, Vernay and Vuissens into Estavayer"
Cheyres-Châbles,2017-01-01,Fusion of Cheyres and Châbles into Cheyres-Châbles
Courtepin,2017-01-01,"Incorporation of Barberêche, Villarepos and Wallenried into Courtepin"
Plaffeien,2017-01-01,Incorporation of Oberschrot and Zumholz into Plaffeien
Belfaux,2016-01-01,Incorporation of Autafond into Belfaux
Gibloux,2016-01-01,"Fusion of Corpataux-Magnedens, Farvagny, Le Glèbe, Rossens (FR) and Vuisternens-en-Ogoz into Gibloux"
Belmont-Broye,2016-01-01,"Fusion of Domdidier, Dompierre (FR), Léchelles and Russy into Belmont-Broye"
Mont-Vully,2016-01-01,Fusion of Bas-Vully and Haut-Vully into Mont-Vully
Val-de-Charmey,2014-01-01,Fusion of Cerniat (FR) and Charmey into Val-de-Charmey
Corbières,2011-01-01,Incorporation of Villarvolard into Corbières
Lully (FR),2006-01-01,Incorporation of Bollion and Seiry into Lully (FR)
Ried bei Kerzers,2006-01-01,Incorporation of Agriswil into Ried bei Kerzers
Botterens,2006-01-01,Incorporation of Villarbeney into Botterens
Bulle,2006-01-01,Incorporation of La Tour-de-Trême into Bulle
Cugy (FR),2005-01-01,Incorporation of Vesin into Cugy (FR)
Delley-Portalban,2005-01-01,Fusion of Delley and Portalban into Delley-Portalban
